Producto,Fecha,Valor
Total Nacional. Índice general. Índice. ,1764543600000,119.942
Total Nacional. Índice general. Índice. ,1761951600000,119.532
Total Nacional. Índice general. Índice. ,1759269600000,119.301
Total Nacional. Índice general. Índice. ,1756677600000,118.485
Total Nacional. Índice general. Índice. ,1753999200000,118.824
Total Nacional. Índice general. Índice. ,1751320800000,118.777
Total Nacional. Índice general. Índice. ,1748728800000,118.867
Total Nacional. Índice general. Índice. ,1746050400000,118.077
Total Nacional. Índice general. Índice. ,1743458400000,117.997
Total Nacional. Índice general. Índice. ,1740783600000,117.26
Total Nacional. Índice general. Índice. ,1738364400000,117.191
Total Nacional. Índice general. Índice. ,1735686000000,116.733
Total Nacional. Índice general. Índice. ,1733007600000,116.534
Total Nacional. Índice general. Índice. ,1730415600000,116.01
Total Nacional. Índice general. Índice. ,1727733600000,115.726
Total Nacional. Índice general. Índice. ,1725141600000,115.009
Total Nacional. Índice general. Índice. ,1722463200000,115.707
Total Nacional. Índice general. Índice. ,1719784800000,115.66
Total Nacional. Índice general. Índice. ,1717192800000,116.212
Total Nacional. Índice general. Índice. ,1714514400000,115.776
Total Nacional. Índice general. Índice. ,1711922400000,115.472
Total Nacional. Índice general. Índice. ,1709247600000,114.674
Total Nacional. Índice general. Índice. ,1706742000000,113.807
Total Nacional. Índice general. Índice. ,1704063600000,113.404
Total Nacional. Índice general. Variación mensual. ,1764543600000,0.3
Total Nacional. Índice general. Variación mensual. ,1761951600000,0.2
Total Nacional. Índice general. Variación mensual. ,1759269600000,0.7
Total Nacional. Índice general. Variación mensual. ,1756677600000,-0.3
Total Nacional. Índice general. Variación mensual. ,1753999200000,0.0
Total Nacional. Índice general. Variación mensual. ,1751320800000,-0.1
Total Nacional. Índice general. Variación mensual. ,1748728800000,0.7
Total Nacional. Índice general. Variación mensual. ,1746050400000,0.1
Total Nacional. Índice general. Variación mensual. ,1743458400000,0.6
Total Nacional. Índice general. Variación mensual. ,1740783600000,0.1
Total Nacional. Índice general. Variación mensual. ,1738364400000,0.4
Total Nacional. Índice general. Variación mensual. ,1735686000000,0.2
Total Nacional. Índice general. Variación mensual. ,1733007600000,0.5
Total Nacional. Índice general. Variación mensual. ,1730415600000,0.2
Total Nacional. Índice general. Variación mensual. ,1727733600000,0.6
Total Nacional. Índice general. Variación mensual. ,1725141600000,-0.6
Total Nacional. Índice general. Variación mensual. ,1722463200000,0.0
Total Nacional. Índice general. Variación mensual. ,1719784800000,-0.5
Total Nacional. Índice general. Variación mensual. ,1717192800000,0.4
Total Nacional. Índice general. Variación mensual. ,1714514400000,0.3
Total Nacional. Índice general. Variación mensual. ,1711922400000,0.7
Total Nacional. Índice general. Variación mensual. ,1709247600000,0.8
Total Nacional. Índice general. Variación mensual. ,1706742000000,0.4
Total Nacional. Índice general. Variación mensual. ,1704063600000,0.1
Total Nacional. Índice general. Variación anual. ,1764543600000,2.9
Total Nacional. Índice general. Variación anual. ,1761951600000,3.0
Total Nacional. Índice general. Variación anual. ,1759269600000,3.1
Total Nacional. Índice general. Variación anual. ,1756677600000,3.0
Total Nacional. Índice general. Variación anual. ,1753999200000,2.7
Total Nacional. Índice general. Variación anual. ,1751320800000,2.7
Total Nacional. Índice general. Variación anual. ,1748728800000,2.3
Total Nacional. Índice general. Variación anual. ,1746050400000,2.0
Total Nacional. Índice general. Variación anual. ,1743458400000,2.2
Total Nacional. Índice general. Variación anual. ,1740783600000,2.3
Total Nacional. Índice general. Variación anual. ,1738364400000,3.0
Total Nacional. Índice general. Variación anual. ,1735686000000,2.9
Total Nacional. Índice general. Variación anual. ,1733007600000,2.8
Total Nacional. Índice general. Variación anual. ,1730415600000,2.4
Total Nacional. Índice general. Variación anual. ,1727733600000,1.8
Total Nacional. Índice general. Variación anual. ,1725141600000,1.5
Total Nacional. Índice general. Variación anual. ,1722463200000,2.3
Total Nacional. Índice general. Variación anual. ,1719784800000,2.8
Total Nacional. Índice general. Variación anual. ,1717192800000,3.4
Total Nacional. Índice general. Variación anual. ,1714514400000,3.6
Total Nacional. Índice general. Variación anual. ,1711922400000,3.3
Total Nacional. Índice general. Variación anual. ,1709247600000,3.2
Total Nacional. Índice general. Variación anual. ,1706742000000,2.8
Total Nacional. Índice general. Variación anual. ,1704063600000,3.4
Total Nacional. Índice general. Variación en lo que va de año. ,1764543600000,2.9
Total Nacional. Índice general. Variación en lo que va de año. ,1761951600000,2.6
Total Nacional. Índice general. Variación en lo que va de año. ,1759269600000,2.4
Total Nacional. Índice general. Variación en lo que va de año. ,1756677600000,1.7
Total Nacional. Índice general. Variación en lo que va de año. ,1753999200000,2.0
Total Nacional. Índice general. Variación en lo que va de año. ,1751320800000,1.9
Total Nacional. Índice general. Variación en lo que va de año. ,1748728800000,2.0
Total Nacional. Índice general. Variación en lo que va de año. ,1746050400000,1.3
Total Nacional. Índice general. Variación en lo que va de año. ,1743458400000,1.3
Total Nacional. Índice general. Variación en lo que va de año. ,1740783600000,0.6
Total Nacional. Índice general. Variación en lo que va de año. ,1738364400000,0.6
Total Nacional. Índice general. Variación en lo que va de año. ,1735686000000,0.2
Total Nacional. Índice general. Variación en lo que va de año. ,1733007600000,2.8
Total Nacional. Índice general. Variación en lo que va de año. ,1730415600000,2.4
Total Nacional. Índice general. Variación en lo que va de año. ,1727733600000,2.1
Total Nacional. Índice general. Variación en lo que va de año. ,1725141600000,1.5
Total Nacional. Índice general. Variación en lo que va de año. ,1722463200000,2.1
Total Nacional. Índice general. Variación en lo que va de año. ,1719784800000,2.1
Total Nacional. Índice general. Variación en lo que va de año. ,1717192800000,2.6
Total Nacional. Índice general. Variación en lo que va de año. ,1714514400000,2.2
Total Nacional. Índice general. Variación en lo que va de año. ,1711922400000,1.9
Total Nacional. Índice general. Variación en lo que va de año. ,1709247600000,1.2
Total Nacional. Índice general. Variación en lo que va de año. ,1706742000000,0.4
Total Nacional. Índice general. Variación en lo que va de año. ,1704063600000,0.1
Total Nacional. Alimentos y bebidas no alcohólicas. Índice. ,1764543600000,133.887
Total Nacional. Alimentos y bebidas no alcohólicas. Índice. ,1761951600000,133.626
Total Nacional. Alimentos y bebidas no alcohólicas. Índice. ,1759269600000,133.195
Total Nacional. Alimentos y bebidas no alcohólicas. Índice. ,1756677600000,131.323
Total Nacional. Alimentos y bebidas no alcohólicas. Índice. ,1753999200000,131.511
Total Nacional. Alimentos y bebidas no alcohólicas. Índice. ,1751320800000,132.529
Total Nacional. Alimentos y bebidas no alcohólicas. Índice. ,1748728800000,133.046
Total Nacional. Alimentos y bebidas no alcohólicas. Índice. ,1746050400000,132.583
Total Nacional. Alimentos y bebidas no alcohólicas. Índice. ,1743458400000,131.966
Total Nacional. Alimentos y bebidas no alcohólicas. Índice. ,1740783600000,131.535
Total Nacional. Alimentos y bebidas no alcohólicas. Índice. ,1738364400000,131.159
Total Nacional. Alimentos y bebidas no alcohólicas. Índice. ,1735686000000,130.732
Total Nacional. Alimentos y bebidas no alcohólicas. Índice. ,1733007600000,129.998
Total Nacional. Alimentos y bebidas no alcohólicas. Índice. ,1730415600000,129.937
Total Nacional. Alimentos y bebidas no alcohólicas. Índice. ,1727733600000,130.058
Total Nacional. Alimentos y bebidas no alcohólicas. Índice. ,1725141600000,128.263
Total Nacional. Alimentos y bebidas no alcohólicas. Índice. ,1722463200000,128.595
Total Nacional. Alimentos y bebidas no alcohólicas. Índice. ,1719784800000,129.058
Total Nacional. Alimentos y bebidas no alcohólicas. Índice. ,1717192800000,129.474
Total Nacional. Alimentos y bebidas no alcohólicas. Índice. ,1714514400000,129.369
Total Nacional. Alimentos y bebidas no alcohólicas. Índice. ,1711922400000,129.317
Total Nacional. Alimentos y bebidas no alcohólicas. Índice. ,1709247600000,128.439
Total Nacional. Alimentos y bebidas no alcohólicas. Índice. ,1706742000000,128.357
Total Nacional. Alimentos y bebidas no alcohólicas. Índice. ,1704063600000,128.395
Total Nacional. Alimentos y bebidas no alcohólicas. Variación mensual. ,1764543600000,0.2
Total Nacional. Alimentos y bebidas no alcohólicas. Variación mensual. ,1761951600000,0.3
Total Nacional. Alimentos y bebidas no alcohólicas. Variación mensual. ,1759269600000,1.4
Total Nacional. Alimentos y bebidas no alcohólicas. Variación mensual. ,1756677600000,-0.1
Total Nacional. Alimentos y bebidas no alcohólicas. Variación mensual. ,1753999200000,-0.8
Total Nacional. Alimentos y bebidas no alcohólicas. Variación mensual. ,1751320800000,-0.4
Total Nacional. Alimentos y bebidas no alcohólicas. Variación mensual. ,1748728800000,0.3
Total Nacional. Alimentos y bebidas no alcohólicas. Variación mensual. ,1746050400000,0.5
