Concepto,Fecha,Valor
Nacional. Índice general. Índice. ,1764543600000,119.942
Nacional. Índice general. Índice. ,1761951600000,119.532
Nacional. Índice general. Índice. ,1759269600000,119.301
Nacional. Índice general. Índice. ,1756677600000,118.485
Nacional. Índice general. Índice. ,1753999200000,118.824
Nacional. Índice general. Índice. ,1751320800000,118.777
Nacional. Índice general. Índice. ,1748728800000,118.867
Nacional. Índice general. Índice. ,1746050400000,118.077
Nacional. Índice general. Índice. ,1743458400000,117.997
Nacional. Índice general. Índice. ,1740783600000,117.26
Nacional. Índice general. Índice. ,1738364400000,117.191
Nacional. Índice general. Índice. ,1735686000000,116.733
Nacional. Índice general. Variación mensual. ,1764543600000,0.3
Nacional. Índice general. Variación mensual. ,1761951600000,0.2
Nacional. Índice general. Variación mensual. ,1759269600000,0.7
Nacional. Índice general. Variación mensual. ,1756677600000,-0.3
Nacional. Índice general. Variación mensual. ,1753999200000,0.0
Nacional. Índice general. Variación mensual. ,1751320800000,-0.1
Nacional. Índice general. Variación mensual. ,1748728800000,0.7
Nacional. Índice general. Variación mensual. ,1746050400000,0.1
Nacional. Índice general. Variación mensual. ,1743458400000,0.6
Nacional. Índice general. Variación mensual. ,1740783600000,0.1
Nacional. Índice general. Variación mensual. ,1738364400000,0.4
Nacional. Índice general. Variación mensual. ,1735686000000,0.2
Nacional. Índice general. Variación anual. ,1764543600000,2.9
Nacional. Índice general. Variación anual. ,1761951600000,3.0
Nacional. Índice general. Variación anual. ,1759269600000,3.1
Nacional. Índice general. Variación anual. ,1756677600000,3.0
Nacional. Índice general. Variación anual. ,1753999200000,2.7
Nacional. Índice general. Variación anual. ,1751320800000,2.7
Nacional. Índice general. Variación anual. ,1748728800000,2.3
Nacional. Índice general. Variación anual. ,1746050400000,2.0
Nacional. Índice general. Variación anual. ,1743458400000,2.2
Nacional. Índice general. Variación anual. ,1740783600000,2.3
Nacional. Índice general. Variación anual. ,1738364400000,3.0
Nacional. Índice general. Variación anual. ,1735686000000,2.9
Nacional. Índice general. Variación en lo que va de año. ,1764543600000,2.9
Nacional. Índice general. Variación en lo que va de año. ,1761951600000,2.6
Nacional. Índice general. Variación en lo que va de año. ,1759269600000,2.4
Nacional. Índice general. Variación en lo que va de año. ,1756677600000,1.7
Nacional. Índice general. Variación en lo que va de año. ,1753999200000,2.0
Nacional. Índice general. Variación en lo que va de año. ,1751320800000,1.9
Nacional. Índice general. Variación en lo que va de año. ,1748728800000,2.0
Nacional. Índice general. Variación en lo que va de año. ,1746050400000,1.3
