Periodo,Indice
1759269600000,186.75
1751320800000,183.389
1743458400000,178.184
1735686000000,171.296
1759269600000,1.8
1751320800000,2.9
1743458400000,4.0
1735686000000,3.5
1759269600000,12.9
1751320800000,12.8
1743458400000,12.7
1735686000000,12.2
1759269600000,12.9
1751320800000,10.9
1743458400000,7.7
1735686000000,3.5
1759269600000,185.917
1751320800000,182.372
1743458400000,177.504
1735686000000,170.858
1759269600000,1.9
1751320800000,2.7
1743458400000,3.9
1735686000000,3.3
1759269600000,12.4
1751320800000,12.4
1743458400000,13.6
1735686000000,14.0
1759269600000,12.4
1751320800000,10.2
1743458400000,7.3
1735686000000,3.3
1759269600000,179.035
1751320800000,176.563
1743458400000,170.432
1735686000000,162.696
1759269600000,1.4
1751320800000,3.6
1743458400000,4.8
1735686000000,4.0
1759269600000,14.4
1751320800000,14.6
1743458400000,13.7
1735686000000,13.2
1759269600000,14.4
1751320800000,12.8
1743458400000,8.9
1735686000000,4.0
1759269600000,167.186
1751320800000,162.381
1743458400000,158.852
1735686000000,152.219
1759269600000,3.0
1751320800000,2.2
1743458400000,4.4
1735686000000,3.7
1759269600000,13.9
1751320800000,13.5
1743458400000,13.5
1735686000000,13.1
1759269600000,13.9
1751320800000,10.6
1743458400000,8.2
1735686000000,3.7
1759269600000,203.457
1751320800000,199.625
1743458400000,192.349
1735686000000,185.053
1759269600000,1.9
1751320800000,3.8
1743458400000,3.9
1735686000000,3.1
1759269600000,13.4
1751320800000,12.8
1743458400000,11.7
1735686000000,10.0
1759269600000,13.4
1751320800000,11.2
1743458400000,7.2
1735686000000,3.1
1759269600000,178.512
1751320800000,177.382
1743458400000,173.589
1735686000000,168.596
1759269600000,0.6
1751320800000,2.2
1743458400000,3.0
1735686000000,4.8
1759269600000,11.0
1751320800000,12.2
1743458400000,11.6
1735686000000,12.4
1759269600000,11.0
1751320800000,10.3
1743458400000,7.9
1735686000000,4.8
1759269600000,183.432
1751320800000,179.33
1743458400000,171.527
1735686000000,165.005
1759269600000,2.3
1751320800000,4.5
1743458400000,4.0
1735686000000,2.2
1759269600000,13.6
1751320800000,12.6
1743458400000,10.8
1735686000000,10.2
1759269600000,13.6
1751320800000,11.0
1743458400000,6.2
1735686000000,2.2
1759269600000,166.611
1751320800000,162.037
1743458400000,157.423
1735686000000,150.79
1759269600000,2.8
1751320800000,2.9
1743458400000,4.4
1735686000000,4.4
1759269600000,15.3
1751320800000,14.4
1743458400000,13.6
1735686000000,12.4
1759269600000,15.3
1751320800000,12.1
1743458400000,9.0
1735686000000,4.4
1759269600000,148.275
1751320800000,145.063
1743458400000,141.709
1735686000000,136.159
1759269600000,2.2
1751320800000,2.4
1743458400000,4.1
1735686000000,3.6
1759269600000,12.8
1751320800000,11.6
1743458400000,11.3
1735686000000,10.4
1759269600000,12.8
1751320800000,10.4
1743458400000,7.8
1735686000000,3.6
1759269600000,193.427
1751320800000,190.561
1743458400000,185.881
1735686000000,180.959
1759269600000,1.5
1751320800000,2.5
1743458400000,2.7
1735686000000,3.7
1759269600000,10.9
1751320800000,11.3
1743458400000,11.6
1735686000000,11.7
1759269600000,10.9
1751320800000,9.2
1743458400000,6.5
1735686000000,3.7
1759269600000,174.969
1751320800000,170.956
1743458400000,165.435
1735686000000,158.202
1759269600000,2.3
1751320800000,3.3
1743458400000,4.6
1735686000000,2.6
1759269600000,13.5
1751320800000,13.2
1743458400000,12.6
1735686000000,12.3
1759269600000,13.5
1751320800000,10.9
1743458400000,7.3
1735686000000,2.6
1759269600000,145.386
1751320800000,143.251
1743458400000,139.216
1735686000000,133.037
1759269600000,1.5
1751320800000,2.9
1743458400000,4.6
1735686000000,3.9
1759269600000,13.5
1751320800000,12.5
1743458400000,12.2
1735686000000,10.9
1759269600000,13.5
1751320800000,11.9
1743458400000,8.7
1735686000000,3.9
1759269600000,167.197
1751320800000,164.069
1743458400000,158.913
1735686000000,151.721
1759269600000,1.9
1751320800000,3.2
1743458400000,4.7
1735686000000,3.5
1759269600000,14.1
1751320800000,13.4
1743458400000,12.7
1735686000000,11.2
1759269600000,14.1
1751320800000,12.0
1743458400000,8.4
1735686000000,3.5
1759269600000,207.668
1751320800000,204.059
1743458400000,197.688
1735686000000,188.426
1759269600000,1.8
1751320800000,3.2
1743458400000,4.9
1735686000000,3.6
1759269600000,14.2
1751320800000,14.2
1743458400000,13.3
1735686000000,11.6
1759269600000,14.2
1751320800000,12.2
1743458400000,8.7
1735686000000,3.6
1759269600000,171.78
1751320800000,167.963
1743458400000,162.666
1735686000000,154.993
1759269600000,2.3
1751320800000,3.3
1743458400000,5.0
1735686000000,3.2
1759269600000,14.4
1751320800000,15.0
1743458400000,14.6
1735686000000,13.3
1759269600000,14.4
1751320800000,11.8
1743458400000,8.3
1735686000000,3.2
1759269600000,167.127
1751320800000,166.609
1743458400000,162.614
1735686000000,156.05
1759269600000,0.3
1751320800000,2.5
1743458400000,4.2
1735686000000,4.0
1759269600000,11.4
1751320800000,10.9
1743458400000,12.0
1735686000000,11.4
1759269600000,11.4
1751320800000,11.0
1743458400000,8.4
1735686000000,4.0
1759269600000,170.638
1751320800000,168.61
1743458400000,164.98
1735686000000,159.472
1759269600000,1.2
1751320800000,2.2
1743458400000,3.5
1735686000000,5.0
1759269600000,12.3
1751320800000,11.6
1743458400000,12.4
1735686000000,12.4
1759269600000,12.3
1751320800000,11.0
1743458400000,8.6
1735686000000,5.0
1759269600000,173.261
1751320800000,168.635
1743458400000,164.705
1735686000000,158.501
1759269600000,2.7
1751320800000,2.4
